make_model,make,location,price,body_type,type,warranty,mileage,gearbox,fuel_type,seller,engine_size,gears,co_emissions,drivetrain,extras,empty_weight,full_service_history,upholstery,previous_owner,energy_efficiency_class,age,power_kW,cons_avg,comfort_&_convenience_Package,entertainment_&_media_Package,safety_&_security_Package
Mercedes-Benz A 160,Mercedes-Benz,"P.I. EL PALMAR C/FORJA 6,  11500 PUERTO DE SANTA MARIA, ES",16950.0,Compact,Used,Yes,120200.0,Manual,Diesel,Dealer,1595.0,5.0,98.0,Front,Alloy wheels,1270.0,No,Cloth,2.0,efficient,6.0,75.0,3.8,Standard,Standard,Safety Premium Package
Mercedes-Benz EQE 350,Mercedes-Benz,"APARTADO DE CORREOS 1032,  26140 LOGROÑO, ES",80900.0,Compact,Pre-registered,Yes,5000.0,Automatic,Electric,Dealer,1.0,1.0,0.0,4WD,"Alloy wheels (21""), Shift paddles, Sport package, Sport seats, Touch screen, Voice Control",2355.0,No,Part/Full Leather,1.0,efficient,0.0,215.0,2.359,Premium,Plus,Safety Premium Package
Mercedes-Benz A 45 AMG,Mercedes-Benz,"PORT. TARRACO, MOLL DE LLEVANT, Nº 5, LOC. 6-8,  43004 TARRAGONA, ES",69900.0,Compact,Used,Yes,18900.0,Automatic,Benzine,Dealer,1991.0,8.0,162.0,4WD,Alloy wheels,1555.0,No,Part/Full Leather,2.0,unefficient,2.0,310.0,8.4,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz A 35 AMG,Mercedes-Benz,"Carrer de Provença, 31 Local,  8029 BARCELONA, ES",46990.0,Compact,Used,Yes,18995.0,Automatic,Benzine,Dealer,1991.0,7.0,169.0,4WD,Sport seats,1455.0,No,Part/Full Leather,2.0,unefficient,2.0,225.0,7.3,Standard,Standard,Safety Premium Package
Mercedes-Benz A 45 AMG,Mercedes-Benz,"CARRIL ARAGONES 4,  30007 CASILLAS, ES",16800.0,Compact,Used,Yes,197000.0,Automatic,Diesel,Dealer,2143.0,7.0,162.0,4WD,Alloy wheels,1545.0,No,Part/Full Leather,2.0,unefficient,7.0,100.0,4.9,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz C 160,Mercedes-Benz,"Beethovenstr. 89,  42655 Solingen, DE",4690.0,Compact,Used,No,165000.0,Manual,Benzine,Dealer,1799.0,6.0,196.0,Rear,"Alloy wheels (17""), Catalytic Converter, Emergency tyre repair kit, Headlight washer system, Smoker's package, Sport package, Sport seats",1465.0,Yes,Cloth,2.0,efficient,17.0,90.0,8.2,Standard,Standard,Safety Premium Package
Mercedes-Benz CLA 180,Mercedes-Benz,"CR PATERNA-LA CAÑADA, KM. 2,  46980 PATERNA, ES",22550.0,Compact,Used,Yes,83339.0,Manual,Diesel,Dealer,1595.0,7.0,134.0,Front,"Alloy wheels (17""), Shift paddles, Sport seats",1410.0,No,Part/Full Leather,3.0,unefficient,4.0,90.0,6.1,Standard,Plus,Safety Premium Package
Mercedes-Benz A 220,Mercedes-Benz,"CTRA DE MADRID KM 315,7,  50012 ZARAGOZA, ES",26900.0,Compact,Used,Yes,48900.0,Automatic,Benzine,Dealer,1991.0,7.0,141.0,Front,"Alloy wheels, Sport seats",1450.0,No,Part/Full Leather,2.0,efficient,3.0,140.0,6.1,Standard,Standard,Safety Premium Package
Mercedes-Benz A 35 AMG,Mercedes-Benz,"Voogdijstraat 25,  3500 Hasselt, BE",44999.0,Compact,Used,No,56876.0,Automatic,Benzine,Dealer,1991.0,7.0,168.0,4WD,Sport package,1455.0,No,Part/Full Leather,2.0,unefficient,3.0,225.0,0.0,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz A 200,Mercedes-Benz,"AUTOVÍA AS-2, Nº 1529,  33392 GIJON, ES",23900.0,Compact,Used,Yes,21854.0,Automatic,Diesel,Dealer,1991.0,1.0,101.5,Front,Alloy wheels,1365.0,No,Part/Full Leather,3.0,efficient,4.0,102.0,5.4,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz A 160,Mercedes-Benz,"Bestel gemakkelijk Online 24/7,  1000 Brussel, BE",14200.0,Compact,Used,Yes,99016.0,Manual,Diesel,Dealer,1461.0,5.0,98.0,Front,"Alloy wheels, Spoiler",1295.0,No,Cloth,2.0,efficient,7.0,66.0,3.8,Standard,Standard,Safety Premium Package
Mercedes-Benz A 45 AMG,Mercedes-Benz,"POLIGONO OTERO, 8 NAVE 5,  39608 IGOLLO DE CAMARGO, ES",37999.0,Compact,Used,Yes,90000.0,Automatic,Benzine,Dealer,1991.0,7.0,162.0,4WD,"Alloy wheels, Sport seats",1555.0,No,Part/Full Leather,2.0,unefficient,6.0,280.0,6.9,Standard,Standard,Safety Standard Package
Mercedes-Benz A 250,Mercedes-Benz,"C/ RAFAEL MUNTANER, 3,  29004 MALAGA, ES",23999.0,Compact,Used,Yes,25914.0,Automatic,Benzine,Dealer,1991.0,7.0,22.0,Front,"Alloy wheels, Sport seats, Sport suspension",1445.0,No,Cloth,2.0,efficient,9.0,155.0,6.0,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz A 180,Mercedes-Benz,"Bestel gemakkelijk Online 24/7,  1000 Brussel, BE",24400.0,Compact,Used,Yes,27150.0,Manual,Diesel,Dealer,1461.0,6.0,120.0,Front,"Alloy wheels, Automatically dimming interior mirror, Spoiler, Sport seats, Voice Control",1330.0,No,Part/Full Leather,2.0,unefficient,2.0,85.0,4.5,Standard,Plus,Safety Premium Package
