make_model,price,body_type,type,warranty,mileage,gearbox,fuel_type,seller,engine_size,gears,co_emissions,drivetrain,extras,empty_weight,full_service_history,upholstery,previous_owner,energy_efficiency_class,age,power_kW,cons_avg,comfort_&_convenience_Package,entertainment_&_media_Package,safety_&_security_Package
Mercedes-Benz A 180,24400.0,Compact,Used,Yes,27150.0,Manual,Diesel,Dealer,1461.0,6.0,120.0,Front,5,1330.0,No,Part/Full Leather,2.0,unefficient,2.0,85.0,4.5,Standard,Plus,Safety Premium Package
Mercedes-Benz A 180,7450.0,Compact,Used,No,157500.0,Manual,Diesel,Dealer,1991.0,6.0,138.0,Front,6,1295.0,Yes,Cloth,2.0,unefficient,12.0,80.0,5.2,Premium,Standard,Safety Premium Plus Package
Mercedes-Benz A 180,29800.0,Compact,Used,Yes,21734.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1445.0,No,Cloth,2.0,unefficient,2.0,85.0,3.9,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,21000.0,Compact,Used,Yes,172700.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1425.0,No,Cloth,3.0,unefficient,4.0,80.0,3.7,Standard,Standard,Safety Standard Package
Mercedes-Benz A 180,26800.0,Compact,Used,Yes,18989.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1455.0,No,Cloth,2.0,unefficient,2.0,85.0,3.9,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,32900.0,Compact,Pre-registered,Yes,25.0,Manual,Benzine,Dealer,1332.0,6.0,126.0,Front,1,1350.0,No,Cloth,1.0,unefficient,1.0,100.0,0.0,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,21000.0,Compact,Used,Yes,172700.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1425.0,No,Cloth,3.0,unefficient,4.0,80.0,3.7,Standard,Standard,Safety Standard Package
Mercedes-Benz A 180,32950.0,Compact,Used,No,20124.0,Automatic,Benzine,Dealer,1332.0,7.0,128.0,Front,2,1295.0,No,Part/Full Leather,2.0,unefficient,2.0,100.0,5.6,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,18390.0,Compact,Used,Yes,63871.0,Automatic,Benzine,Dealer,1595.0,7.0,126.0,Front,1,1395.0,No,Part/Full Leather,1.0,unefficient,5.0,90.0,5.4,Standard,Standard,Safety Standard Package
Mercedes-Benz A 180,25900.0,Compact,Used,Yes,26900.0,Manual,Benzine,Dealer,1332.0,6.0,126.0,Front,1,1350.0,No,Part/Full Leather,2.0,unefficient,2.0,100.0,0.0,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,25400.0,Compact,Used,Yes,87700.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1445.0,No,Part/Full Leather,3.0,unefficient,4.0,85.0,3.9,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,29900.0,Compact,Used,Yes,52497.0,Automatic,Benzine,Dealer,1332.0,7.0,127.0,Front,8,1295.0,Yes,Part/Full Leather,2.0,unefficient,3.0,100.0,5.6,Premium,Plus,Safety Premium Package
Mercedes-Benz A 180,14490.0,Compact,Used,Yes,118059.0,Manual,Diesel,Dealer,1461.0,6.0,98.0,Front,2,1295.0,No,Cloth,2.0,unefficient,8.0,80.0,3.8,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,20630.0,Compact,Used,Yes,98258.0,Manual,Diesel,Dealer,1461.0,6.0,99.5,Front,1,1295.0,No,Cloth,2.0,unefficient,3.0,85.0,4.2,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,8490.0,Compact,Used,Yes,141980.0,Automatic,Benzine,Dealer,1699.0,7.0,173.0,Front,1,1295.0,Yes,Cloth,1.0,unefficient,11.0,85.0,7.3,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,23850.0,Compact,Used,Yes,71098.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1425.0,No,Cloth,3.0,unefficient,4.0,80.0,3.7,Standard,Standard,Safety Standard Package
Mercedes-Benz A 180,29900.0,Compact,Used,Yes,26500.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1445.0,No,Cloth,1.0,unefficient,1.0,85.0,3.9,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,25900.0,Compact,Used,Yes,43987.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1445.0,No,Cloth,2.0,unefficient,3.0,85.0,3.9,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,16700.0,Compact,Used,Yes,139000.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1425.0,No,Cloth,2.0,unefficient,6.0,80.0,3.7,Standard,Standard,Safety Standard Package
Mercedes-Benz A 180,23850.0,Compact,Used,Yes,71098.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1425.0,No,Cloth,3.0,unefficient,4.0,80.0,3.7,Standard,Standard,Safety Standard Package
Mercedes-Benz A 180,27460.0,Compact,Used,No,58813.0,Automatic,Benzine,Dealer,1332.0,7.0,124.0,Front,5,1350.0,Yes,Part/Full Leather,2.0,unefficient,2.0,100.0,5.4,Standard,Plus,Safety Premium Package
Mercedes-Benz A 180,20630.0,Compact,Used,Yes,98258.0,Manual,Diesel,Dealer,1461.0,6.0,99.5,Front,1,1295.0,No,Part/Full Leather,2.0,unefficient,3.0,85.0,4.2,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,21000.0,Compact,Used,Yes,172700.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1425.0,No,Part/Full Leather,3.0,unefficient,4.0,80.0,3.7,Standard,Standard,Safety Standard Package
Mercedes-Benz A 180,29900.0,Compact,Used,Yes,68900.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1455.0,No,Part/Full Leather,2.0,unefficient,3.0,85.0,3.9,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,25600.0,Compact,Used,Yes,49600.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1445.0,No,Part/Full Leather,3.0,unefficient,4.0,85.0,3.9,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,26850.0,Compact,Used,Yes,28330.0,Automatic,Benzine,Dealer,1332.0,7.0,126.0,Front,1,1365.0,No,Part/Full Leather,2.0,unefficient,2.0,100.0,0.0,Standard,Standard,Safety Premium Package
